区间右值,L1/L2,-1000%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,120%,150%,200%,400%,1000%
0,>=0个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,>=3个月,140,140,109,79,59,48,35,21,15,9,9,8,7,5,4,4,0
6,>=6个月,139,139,117,89,71,59,43,28,19,15,12,11,9,6,6,5,0
9,>=9个月,121,121,109,88,75,64,47,35,28,22,18,16,10,7,7,6,0
12,>=12个月,96,96,86,80,70,64,49,38,32,24,21,18,12,7,7,6,0
15,>=15个月,96,96,89,81,73,65,54,40,33,25,23,20,13,8,8,6,0
18,>=18个月,96,96,89,83,73,66,55,42,36,27,24,21,13,8,8,6,0
21,>=21个月,96,96,89,83,75,67,59,43,37,28,26,22,13,8,8,6,0
24,>=24个月,47,47,45,42,37,33,30,23,20,14,13,10,5,2,2,1,0
27,>=27个月,22,22,20,19,16,16,15,12,10,6,5,4,3,1,1,0,0
30,>=30个月,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
33,>=33个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,>=36个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,>=39个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,>=42个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,>=45个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,>=48个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,>=51个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,>=54个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,>=57个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,>=60个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,>=63个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,>=66个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,>=69个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,>=72个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,>=75个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,>=78个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,>=81个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,>=84个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,>=87个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,>=90个月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
