
======================================================================================
----------------------------------------------------------------------------
	簇个数:	 199
--------------------------------------
	簇ID:	 计数

	0:	 11
	1:	 1
	2:	 1
	3:	 1
	4:	 3360
	5:	 1
	6:	 1
	7:	 1
	8:	 1
	9:	 1
	10:	 1
	11:	 1
	12:	 1
	13:	 1
	14:	 1
	15:	 3
	16:	 1
	17:	 1
	18:	 1
	19:	 1
	20:	 6
	21:	 1
	22:	 1
	23:	 1
	24:	 3
	25:	 1
	26:	 1
	27:	 1
	28:	 1
	29:	 1
	30:	 39
	31:	 4
	32:	 1
	33:	 1
	34:	 1
	35:	 1
	36:	 1
	37:	 1
	38:	 1
	39:	 3
	40:	 13
	41:	 1
	42:	 1
	43:	 1
	44:	 1
	45:	 1
	46:	 1
	47:	 3
	48:	 4
	49:	 3
	50:	 1
	51:	 2
	52:	 5
	53:	 1
	54:	 1
	55:	 1
	56:	 3
	57:	 52
	58:	 2
	59:	 4
	60:	 16
	61:	 3
	62:	 3
	63:	 1
	64:	 1
	65:	 3
	66:	 7
	67:	 1
	68:	 15
	69:	 15
	70:	 1
	71:	 1
	72:	 1
	73:	 1
	74:	 5
	75:	 95
	76:	 4
	77:	 8
	78:	 1
	79:	 1
	80:	 1
	81:	 7
	82:	 1
	83:	 1
	84:	 1
	85:	 1
	86:	 5
	87:	 1
	88:	 1
	89:	 22
	90:	 7
	91:	 2
	92:	 8
	93:	 1
	94:	 4
	95:	 1
	96:	 2
	97:	 2
	98:	 3
	99:	 1
	100:	 1
	101:	 3
	102:	 4
	103:	 1
	104:	 1
	105:	 4
	106:	 6
	107:	 6
	108:	 2
	109:	 1
	110:	 14
	111:	 1
	112:	 1
	113:	 2
	114:	 6
	115:	 1
	116:	 1
	117:	 1
	118:	 1
	119:	 5
	120:	 1
	121:	 6
	122:	 7
	123:	 3
	124:	 8
	125:	 1
	126:	 8
	127:	 45
	128:	 1
	129:	 1
	130:	 1
	131:	 6
	132:	 14
	133:	 5
	134:	 1
	135:	 2
	136:	 3
	137:	 1
	138:	 2
	139:	 2
	140:	 6
	141:	 1
	142:	 8
	143:	 1
	144:	 1
	145:	 1
	146:	 32
	147:	 2
	148:	 11
	149:	 1
	150:	 4
	151:	 1
	152:	 1
	153:	 3
	154:	 1
	155:	 1
	156:	 1
	157:	 2
	158:	 25
	159:	 2
	160:	 3
	161:	 4
	162:	 1
	163:	 12
	164:	 3
	165:	 1
	166:	 7
	167:	 7
	168:	 2
	169:	 15
	170:	 1
	171:	 5
	172:	 3
	173:	 8
	174:	 35
	175:	 1
	176:	 20
	177:	 1
	178:	 1
	179:	 4
	180:	 1
	181:	 1
	182:	 5
	183:	 2
	184:	 40
	185:	 2
	186:	 2
	187:	 8
	188:	 2
	189:	 8
	190:	 1
	191:	 2
	192:	 17
	193:	 15
	194:	 1
	195:	 2
	196:	 31
	197:	 1
	198:	 1
--------------------------------------
	 簇中心 

0,11,||,0.0,0.0,0.0,10.090909090909092,2.5454545454545454,0.0,1.0,0.0,0.0,0.0,385.1818181818182,37.63636363636363
1,1,||,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79500.0
2,1,||,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33600.0,70200.0,83400.0,75000.0
3,1,||,0.0,0.0,0.0,0.0,149.0,11484.0,194.0,26053.0,6089.0,52.0,0.0,0.0
4,3360,||,0.0,0.0,0.0,0.2086309523809524,0.35327380952380955,0.3711309523809524,0.24345238095238095,0.35892857142857143,0.3744047619047619,0.38095238095238093,0.2630952380952381,0.7151785714285714
5,1,||,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50400.0
6,1,||,0.0,0.0,0.0,0.0,1979.0,1095.0,489.0,20420.0,7287.0,4667.0,23116.0,24529.0
