
======================================================================================
----------------------------------------------------------------------------
	簇个数:	 200
--------------------------------------
	簇ID:	 计数

19,1,||,560.0,1206.0,230.0,9039.0,600.0,833.0,818.0,150.0,0.0,510.0,500.0,3359.0
20,84,||,570.5121951219512,427.9634146341463,385.719512195122,300.7073170731707,225.8780487804878,175.8780487804878,174.2439024390244,185.46341463414635,157.890243902439,134.02439024390245,160.8780487804878,184.5121951219512
21,1,||,50000.0,41000.0,71000.0,31500.0,43000.0,32500.0,49500.0,37500.0,32317.0,35847.0,48861.0,41567.0
22,3,||,6548.333333333333,3778.3333333333335,743.0,388.0,569.6666666666666,351.3333333333333,246.0,275.0,272.0,204.66666666666666,301.0,267.0
23,1,||,5797.0,3300.0,3704.0,5981.0,9037.0,10441.0,6430.0,883.0,503.0,383.0,543.0,443.0
24,1,||,3266.0,1758.0,675.0,645.0,503.0,0.0,227.0,194.0,41551.0,23220.0,29162.0,8073.0
25,1,||,3390.0,28080.0,4110.0,7800.0,6990.0,7050.0,8190.0,8790.0,4890.0,2790.0,8310.0,3000.0
26,1,||,8889.0,8429.0,8132.0,9210.0,9242.0,9826.0,9110.0,9394.0,12456.0,8328.0,9580.0,13047.0
27,106,||,717.2075471698113,0.0,730.9150943396227,0.0,776.5849056603773,0.0,624.2735849056604,0.0,607.1981132075472,0.0,558.566037735849,0.0
28,1,||,60800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,||,9000.0,6000.0,8000.0,11000.0,12000.0,25400.0,25800.0,28600.0,26800.0,17000.0,21400.0,30200.0
30,429,||,269.0911214953271,253.7570093457944,275.01869158878503,258.9088785046729,283.7570093457944,217.04205607476635,203.65654205607476,218.03971962616822,216.54205607476635,191.15887850467288,231.6214953271028,228.58644859813083
31,1,||,7842.0,8706.0,29040.0,19308.0,23592.0,20508.0,9102.0,6258.0,17124.0,18150.0,31230.0,26400.0
32,1,||,629.0,539.0,569.0,569.0,3611.0,519.0,218.0,238.0,248.0,24714.0,428.0,2881.0
33,1,||,33516.0,33849.0,29940.0,21687.0,14027.0,14341.0,13866.0,15649.0,7847.0,12164.0,27107.0,32209.0
34,1,||,47200.0,36400.0,10000.0,3200.0,15600.0,40800.0,35600.0,23080.0,30000.0,25600.0,22800.0,20400.0
35,1,||,31408.0,28110.0,30648.0,26950.0,17806.0,14532.0,18394.0,25895.0,20137.0,14120.0,22037.0,26985.0
36,1,||,12974.0,24605.0,16235.0,14152.0,17922.0,21882.0,18987.0,13873.0,35912.0,26643.0,11184.0,31195.0
37,1,||,40978.0,33414.0,21028.0,38281.0,36804.0,15172.0,23112.0,36483.0,38410.0,38249.0,40343.0,40795.0
38,1,||,28000.0,52000.0,23200.0,42800.0,26000.0,14000.0,20000.0,12000.0,10400.0,0.0,0.0,0.0
39,1,||,8130.0,8340.0,6015.0,6195.0,6690.0,3330.0,3930.0,6645.0,5595.0,2805.0,5865.0,5910.0
40,16,||,629.5625,74.4375,1609.1875,286.6875,433.3125,187.4375,265.75,297.875,263.625,166.6875,230.5625,178.125
41,4,||,5132.0,4558.0,3452.75,4152.0,4414.75,3309.0,3399.25,2654.75,2992.0,3422.25,4232.0,4520.5
42,1,||,9125.0,346.0,346.0,19722.0,11096.0,4386.0,2740.0,2306.0,3109.0,6742.0,9354.0,346.0
43,1,||,318.0,3132.0,883.0,279.0,7963.0,6668.0,4206.0,4497.0,5016.0,8675.0,4909.0,4824.0
44,1,||,24540.0,24420.0,19320.0,17580.0,7020.0,2100.0,3300.0,4740.0,3900.0,3840.0,5940.0,16200.0
45,770,||,188.19714656290532,171.0479896238651,194.39429312581063,191.94163424124514,208.60959792477303,166.92088197146563,155.36186770428014,168.01686121919585,165.97016861219197,153.13229571984436,179.7898832684825,166.98313878080415
46,1,||,450.0,3038.0,1081.0,486.0,1893.0,3260.0,13345.0,20571.0,31705.0,27355.0,16389.0,1201.0
47,1,||,8949.0,0.0,8507.0,3635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22455.0
48,1,||,4332.0,4820.0,1972.0,2208.0,4308.0,14048.0,12604.0,12612.0,14048.0,12320.0,17836.0,9792.0
49,5,||,941.2,908.0,2685.0,1263.0,2355.4,1797.8,1684.6,1525.4,1734.2,1670.8,1650.0,1840.2
50,1,||,60480.0,61280.0,55680.0,42560.0,14314.0,29163.0,15840.0,17200.0,20160.0,23200.0,29200.0,31360.0
51,1,||,780.0,580.0,720.0,300.0,480.0,360.0,420.0,3567.0,4697.0,2182.0,3415.0,172.0
52,11,||,237.36363636363637,89.9090909090909,242.0909090909091,123.18181818181819,223.45454545454547,129.54545454545453,126.36363636363636,77.81818181818181,144.36363636363637,100.36363636363636,1280.2727272727273,357.72727272727275
