索引,起始值(含),终止值(不含),计数
0,0,100,15376
1,100,200,239
2,200,300,182
3,300,400,157
4,400,500,141
5,500,600,133
6,600,700,102
7,700,800,107
8,800,900,86
9,900,1000,80
10,1000,1100,77
11,1100,1200,69
12,1200,1300,402
13,1300,1400,25
14,1400,1500,11
15,1500,1600,12
16,1600,1700,19
17,1700,1800,16
18,1800,1900,7
19,1900,2147483647,8
