索引,起始值(含),终止值(不含),计数
0,201301,201302,4
1,201302,201303,8
2,201303,201304,33
3,201304,201305,54
4,201305,201306,111
5,201306,201307,126
6,201307,201308,203
7,201308,201309,253
8,201309,201310,318
9,201310,201311,309
10,201311,201312,381
11,201312,2147483647,445
