索引,起始值(含),终止值(不含),计数
0,0,100,15444
1,100,200,321
2,200,300,280
3,300,400,230
4,400,500,187
5,500,600,154
6,600,700,633
7,700,800,0
8,800,900,0
9,900,1000,0
10,1000,1100,0
11,1100,1200,0
12,1200,1300,0
13,1300,1400,0
14,1400,1500,0
15,1500,1600,0
16,1600,1700,0
17,1700,1800,0
18,1800,1900,0
19,1900,2147483647,0
