索引,起始值(含),终止值(不含),计数
0,201301,201302,11668
1,201302,201303,2015
2,201303,201304,387
3,201304,201305,328
4,201305,201306,226
5,201306,201307,171
6,201307,201308,99
7,201308,201309,97
8,201309,201310,93
9,201310,201311,86
10,201311,201312,80
11,201312,2147483647,105
