索引,起始值(含),终止值(不含),计数
0,201301,201302,1
1,201302,201303,2
2,201303,201304,2
3,201304,201305,12
4,201305,201306,19
5,201306,201307,27
6,201307,201308,42
7,201308,201309,45
8,201309,201310,73
9,201310,201311,75
10,201311,201312,121
11,201312,2147483647,130
