合约,日期,结算价
ag1401,2014/1/2,4084
ag1401,2014/1/3,4096
ag1401,2014/1/6,4105
ag1401,2014/1/7,4093
ag1401,2014/1/8,4014
ag1401,2014/1/9,3961
ag1401,2014/1/10,3975
ag1401,2014/1/13,4028
ag1401,2014/1/14,4076
ag1401,2014/1/15,4043
ag1402,2014/1/2,4113
ag1402,2014/1/3,4123
ag1402,2014/1/6,4130
ag1402,2014/1/7,4118
ag1402,2014/1/8,4042
ag1402,2014/1/9,3987
ag1402,2014/1/10,3996
ag1402,2014/1/13,4071
ag1402,2014/1/14,4074
ag1402,2014/1/15,4079
ag1402,2014/1/16,4066
ag1402,2014/1/17,4063
ag1402,2014/1/20,4089
ag1402,2014/1/21,4084
ag1402,2014/1/22,4025
ag1402,2014/1/23,3997
ag1402,2014/1/24,4049
ag1402,2014/1/27,4038
ag1402,2014/1/28,4018
ag1402,2014/1/29,4003
ag1402,2014/1/30,4000
ag1402,2014/2/7,4013
ag1402,2014/2/10,4027
ag1402,2014/2/11,4053
ag1402,2014/2/12,4045
ag1402,2014/2/13,4052
ag1402,2014/2/14,4090
ag1402,2014/2/17,4241
ag1403,2014/1/2,4138
ag1403,2014/1/3,4152
ag1403,2014/1/6,4158
ag1403,2014/1/7,4143
ag1403,2014/1/8,4053
ag1403,2014/1/9,4006
ag1403,2014/1/10,4002
ag1403,2014/1/13,4119
ag1403,2014/1/14,4123
ag1403,2014/1/15,4099
ag1403,2014/1/16,4090
ag1403,2014/1/17,4089
ag1403,2014/1/20,4113
ag1403,2014/1/21,4106
ag1403,2014/1/22,4049
ag1403,2014/1/23,4021
ag1403,2014/1/24,4070
ag1403,2014/1/27,4054
ag1403,2014/1/28,4042
ag1403,2014/1/29,4023
ag1403,2014/1/30,4013
ag1403,2014/2/7,4034
ag1403,2014/2/10,4055
ag1403,2014/2/11,4079
ag1403,2014/2/12,4068
ag1403,2014/2/13,4079
ag1403,2014/2/14,4149
ag1403,2014/2/17,4329
ag1403,2014/2/18,4357
ag1403,2014/2/19,4354
ag1403,2014/2/20,4326
ag1403,2014/2/21,4315
ag1403,2014/2/24,4306
ag1403,2014/2/25,4349
ag1403,2014/2/26,4344
ag1403,2014/2/27,4225
ag1403,2014/2/28,4215
ag1404,2014/1/2,4166
ag1404,2014/1/3,4163
ag1404,2014/1/6,4166
ag1404,2014/1/7,4161
ag1404,2014/1/8,4075
ag1404,2014/1/9,4030
ag1404,2014/1/10,4018
ag1404,2014/1/13,4106
ag1404,2014/1/14,4119
ag1404,2014/1/15,4124
ag1404,2014/1/16,4097
ag1404,2014/1/17,4105
ag1404,2014/1/20,4133
ag1404,2014/1/21,4139
ag1404,2014/1/22,4060
ag1404,2014/1/23,4039
ag1404,2014/1/24,4091
ag1404,2014/1/27,4074
ag1404,2014/1/28,4063
ag1404,2014/1/29,4047
ag1404,2014/1/30,4030
ag1404,2014/2/7,4053
ag1404,2014/2/10,4075
ag1404,2014/2/11,4107
ag1404,2014/2/12,4088
ag1404,2014/2/13,4101
ag1404,2014/2/14,4188
ag1404,2014/2/17,4376
ag1404,2014/2/18,4401
ag1404,2014/2/19,4382
ag1404,2014/2/20,4361
ag1404,2014/2/21,4342
ag1404,2014/2/24,4344
ag1404,2014/2/25,4388
ag1404,2014/2/26,4376
ag1404,2014/2/27,4259
ag1404,2014/2/28,4240
ag1405,2014/1/2,4165
ag1405,2014/1/3,4180
ag1405,2014/1/6,4185
ag1405,2014/1/7,4180
ag1405,2014/1/8,4103
ag1405,2014/1/9,4037
ag1405,2014/1/10,4048
ag1405,2014/1/13,4120
ag1405,2014/1/14,4130
ag1405,2014/1/15,4136
ag1405,2014/1/16,4118
ag1405,2014/1/17,4125
ag1405,2014/1/20,4150
ag1405,2014/1/21,4150
ag1405,2014/1/22,4076
ag1405,2014/1/23,4048
ag1405,2014/1/24,4109
ag1405,2014/1/27,4102
ag1405,2014/1/28,4077
ag1405,2014/1/29,4065
ag1405,2014/1/30,4060
ag1405,2014/2/7,4076
ag1405,2014/2/10,4092
ag1405,2014/2/11,4133
ag1405,2014/2/12,4120
ag1405,2014/2/13,4124
ag1405,2014/2/14,4197
ag1405,2014/2/17,4376
ag1405,2014/2/18,4415
ag1405,2014/2/19,4402
ag1405,2014/2/20,4377
ag1405,2014/2/21,4368
ag1405,2014/2/24,4366
ag1405,2014/2/25,4406
ag1405,2014/2/26,4388
ag1405,2014/2/27,4289
ag1405,2014/2/28,4271
ag1406,2014/1/2,4191
ag1406,2014/1/3,4198
ag1406,2014/1/6,4205
ag1406,2014/1/7,4201
ag1406,2014/1/8,4126
ag1406,2014/1/9,4050
ag1406,2014/1/10,4055
ag1406,2014/1/13,4139
ag1406,2014/1/14,4149
ag1406,2014/1/15,4165
ag1406,2014/1/16,4136
ag1406,2014/1/17,4144
ag1406,2014/1/20,4168
ag1406,2014/1/21,4171
ag1406,2014/1/22,4096
ag1406,2014/1/23,4084
ag1406,2014/1/24,4130
ag1406,2014/1/27,4123
ag1406,2014/1/28,4097
ag1406,2014/1/29,4084
ag1406,2014/1/30,4083
ag1406,2014/2/7,4094
ag1406,2014/2/10,4110
ag1406,2014/2/11,4148
