合约,日期,结算价
ag1209,2012/5/10,6126
ag1209,2012/5/11,6056
ag1209,2012/5/14,5999
ag1209,2012/5/15,5813
ag1209,2012/5/16,5704
ag1209,2012/5/17,5748
ag1209,2012/5/18,5827
ag1209,2012/5/21,5932
ag1209,2012/5/22,5903
ag1209,2012/5/23,5791
ag1209,2012/5/24,5804
ag1209,2012/5/25,5849
ag1209,2012/5/28,5955
ag1209,2012/5/29,5950
ag1209,2012/5/30,5826
ag1209,2012/5/31,5853
ag1209,2012/6/1,5811
ag1209,2012/6/4,5951
ag1209,2012/6/5,5952
ag1209,2012/6/6,6050
ag1209,2012/6/7,6125
ag1209,2012/6/8,5959
ag1209,2012/6/11,6068
ag1209,2012/6/12,6005
ag1209,2012/6/13,6062
ag1209,2012/6/14,6086
ag1209,2012/6/15,6062
ag1209,2012/6/18,6026
ag1209,2012/6/19,6063
ag1209,2012/6/20,6007
ag1209,2012/6/21,5909
ag1209,2012/6/25,5724
ag1209,2012/6/26,5809
ag1209,2012/6/27,5748
ag1209,2012/6/28,5747
ag1209,2012/6/29,5704
ag1209,2012/7/2,5804
ag1209,2012/7/3,5870
ag1209,2012/7/4,5952
ag1209,2012/7/5,5969
ag1209,2012/7/6,5891
ag1209,2012/7/9,5806
ag1209,2012/7/10,5812
ag1209,2012/7/11,5767
ag1209,2012/7/12,5745
ag1209,2012/7/13,5799
ag1209,2012/7/16,5811
ag1209,2012/7/17,5847
ag1209,2012/7/18,5805
ag1209,2012/7/19,5814
ag1209,2012/7/20,5799
ag1209,2012/7/23,5782
ag1209,2012/7/24,5779
ag1209,2012/7/25,5768
ag1209,2012/7/26,5829
ag1209,2012/7/27,5863
ag1209,2012/7/30,5874
ag1209,2012/7/31,5977
ag1209,2012/8/1,5932
ag1209,2012/8/2,5860
ag1209,2012/8/3,5815
ag1209,2012/8/6,5908
ag1209,2012/8/7,5921
ag1209,2012/8/8,5936
ag1209,2012/8/9,5957
ag1209,2012/8/10,5932
ag1209,2012/8/13,5950
ag1209,2012/8/14,5911
ag1209,2012/8/15,5904
ag1209,2012/8/16,5904
ag1209,2012/8/17,5953
ag1209,2012/8/20,5947
ag1209,2012/8/21,6041
ag1209,2012/8/22,6139
ag1209,2012/8/23,6334
ag1209,2012/8/24,6378
ag1209,2012/8/27,6524
ag1209,2012/8/28,6424
ag1209,2012/8/29,6462
ag1209,2012/8/30,6438
ag1209,2012/8/31,6361
ag1209,2012/9/3,6671
ag1209,2012/9/4,6758
ag1209,2012/9/5,6754
ag1209,2012/9/6,6851
ag1209,2012/9/7,6813
ag1209,2012/9/10,7094
ag1209,2012/9/11,7034
ag1209,2012/9/12,7052
ag1209,2012/9/13,6959
ag1209,2012/9/14,7252
ag1209,2012/9/17,7266
ag1210,2012/5/10,6164
ag1210,2012/5/11,6074
ag1210,2012/5/14,6022
ag1210,2012/5/15,5852
ag1210,2012/5/16,5730
ag1210,2012/5/17,5760
ag1210,2012/5/18,5832
ag1210,2012/5/21,5943
ag1210,2012/5/22,5920
ag1210,2012/5/23,5801
ag1210,2012/5/24,5829
ag1210,2012/5/25,5866
ag1210,2012/5/28,5958
ag1210,2012/5/29,5964
ag1210,2012/5/30,5839
ag1210,2012/5/31,5866
ag1210,2012/6/1,5814
ag1210,2012/6/4,5946
ag1210,2012/6/5,5970
ag1210,2012/6/6,6067
ag1210,2012/6/7,6142
ag1210,2012/6/8,5999
ag1210,2012/6/11,6094
ag1210,2012/6/12,6023
ag1210,2012/6/13,6093
ag1210,2012/6/14,6117
ag1210,2012/6/15,6093
ag1210,2012/6/18,6038
ag1210,2012/6/19,6081
ag1210,2012/6/20,6027
ag1210,2012/6/21,5929
ag1210,2012/6/25,5756
ag1210,2012/6/26,5829
ag1210,2012/6/27,5767
ag1210,2012/6/28,5757
ag1210,2012/6/29,5712
ag1210,2012/7/2,5824
ag1210,2012/7/3,5896
ag1210,2012/7/4,5965
ag1210,2012/7/5,5983
ag1210,2012/7/6,5904
ag1210,2012/7/9,5832
ag1210,2012/7/10,5830
ag1210,2012/7/11,5786
ag1210,2012/7/12,5763
ag1210,2012/7/13,5812
ag1210,2012/7/16,5828
ag1210,2012/7/17,5862
ag1210,2012/7/18,5816
ag1210,2012/7/19,5829
ag1210,2012/7/20,5817
ag1210,2012/7/23,5803
ag1210,2012/7/24,5795
ag1210,2012/7/25,5776
ag1210,2012/7/26,5853
ag1210,2012/7/27,5891
ag1210,2012/7/30,5887
ag1210,2012/7/31,5994
ag1210,2012/8/1,5941
ag1210,2012/8/2,5874
ag1210,2012/8/3,5845
ag1210,2012/8/6,5921
ag1210,2012/8/7,5923
ag1210,2012/8/8,5942
ag1210,2012/8/9,5978
ag1210,2012/8/10,5956
ag1210,2012/8/13,5964
ag1210,2012/8/14,5934
ag1210,2012/8/15,5936
ag1210,2012/8/16,5933
ag1210,2012/8/17,5953
ag1210,2012/8/20,5982
ag1210,2012/8/21,6066
ag1210,2012/8/22,6177
ag1210,2012/8/23,6361
ag1210,2012/8/24,6412
ag1210,2012/8/27,6578
ag1210,2012/8/28,6472
ag1210,2012/8/29,6541
ag1210,2012/8/30,6491
ag1210,2012/8/31,6399
ag1210,2012/9/3,6727
ag1210,2012/9/4,6802
ag1210,2012/9/5,6802
ag1210,2012/9/6,6908
ag1210,2012/9/7,6777
ag1210,2012/9/10,7122
ag1210,2012/9/11,7063
ag1210,2012/9/12,7101
ag1210,2012/9/13,6996
ag1210,2012/9/14,7346
ag1210,2012/9/17,7292
ag1210,2012/9/18,7175
ag1210,2012/9/19,7275
ag1210,2012/9/20,7211
ag1210,2012/9/21,7295
ag1210,2012/9/24,7077
ag1210,2012/9/25,7066
ag1210,2012/9/26,7062
ag1210,2012/9/27,7093
ag1210,2012/9/28,7214
ag1210,2012/10/8,7001
ag1210,2012/10/9,7027
ag1210,2012/10/10,6949
ag1210,2012/10/11,6998
ag1210,2012/10/12,6998
ag1210,2012/10/15,6791
ag1211,2012/5/10,6164
ag1211,2012/5/11,6091
ag1211,2012/5/14,6017
ag1211,2012/5/15,5830
ag1211,2012/5/16,5722
ag1211,2012/5/17,5762
ag1211,2012/5/18,5872
ag1211,2012/5/21,5961
ag1211,2012/5/22,5923
ag1211,2012/5/23,5798
ag1211,2012/5/24,5826
ag1211,2012/5/25,5847
ag1211,2012/5/28,5982
ag1211,2012/5/29,5981
ag1211,2012/5/30,5830
ag1211,2012/5/31,5857
ag1211,2012/6/1,5839
ag1211,2012/6/4,5959
ag1211,2012/6/5,5960
ag1211,2012/6/6,6088
ag1211,2012/6/7,6164
ag1211,2012/6/8,5979
ag1211,2012/6/11,6103
ag1211,2012/6/12,6032
ag1211,2012/6/13,6089
ag1211,2012/6/14,6142
ag1211,2012/6/15,6088
ag1211,2012/6/18,6033
ag1211,2012/6/19,6076
ag1211,2012/6/20,6022
ag1211,2012/6/21,5924
ag1211,2012/6/25,5924
ag1211,2012/6/26,5827
ag1211,2012/6/27,5768
ag1211,2012/6/28,5788
ag1211,2012/6/29,5722
ag1211,2012/7/2,5768
ag1211,2012/7/3,5877
ag1211,2012/7/4,5973
ag1211,2012/7/5,5978
ag1211,2012/7/6,5919
ag1211,2012/7/9,5867
ag1211,2012/7/10,5852
ag1211,2012/7/11,5801
ag1211,2012/7/12,5794
ag1211,2012/7/13,5843
ag1211,2012/7/16,5870
ag1211,2012/7/17,5915
ag1211,2012/7/18,5853
ag1211,2012/7/19,5905
ag1211,2012/7/20,5825
ag1211,2012/7/23,5838
ag1211,2012/7/24,5824
ag1211,2012/7/25,5798
ag1211,2012/7/26,5868
ag1211,2012/7/27,5896
ag1211,2012/7/30,5897
ag1211,2012/7/31,5877
ag1211,2012/8/1,5952
ag1211,2012/8/2,5878
ag1211,2012/8/3,5837
ag1211,2012/8/6,5943
ag1211,2012/8/7,5971
ag1211,2012/8/8,5976
ag1211,2012/8/9,5980
ag1211,2012/8/10,5975
ag1211,2012/8/13,5967
ag1211,2012/8/14,5962
ag1211,2012/8/15,5916
ag1211,2012/8/16,5949
ag1211,2012/8/17,5998
ag1211,2012/8/20,5983
ag1211,2012/8/21,6097
ag1211,2012/8/22,6118
ag1211,2012/8/23,6461
ag1211,2012/8/24,6472
ag1211,2012/8/27,6607
ag1211,2012/8/28,6505
ag1211,2012/8/29,6540
ag1211,2012/8/30,6535
ag1211,2012/8/31,6435
ag1211,2012/9/3,6779
ag1211,2012/9/4,6849
ag1211,2012/9/5,6837
ag1211,2012/9/6,6897
ag1211,2012/9/7,6853
ag1211,2012/9/10,7171
ag1211,2012/9/11,7121
ag1211,2012/9/12,7134
ag1211,2012/9/13,7058
ag1211,2012/9/14,7408
ag1211,2012/9/17,7339
ag1211,2012/9/18,7216
ag1211,2012/9/19,7357
ag1211,2012/9/20,7297
ag1211,2012/9/21,7349
ag1211,2012/9/24,7108
ag1211,2012/9/25,7100
ag1211,2012/9/26,7124
ag1211,2012/9/27,7164
ag1211,2012/9/28,7296
ag1211,2012/10/8,7048
ag1211,2012/10/9,7093
ag1211,2012/10/10,7032
ag1211,2012/10/11,7069
ag1211,2012/10/12,7051
ag1211,2012/10/15,6832
ag1211,2012/10/16,6785
ag1211,2012/10/17,6822
ag1211,2012/10/18,6836
ag1211,2012/10/19,6758
ag1211,2012/10/22,6673
ag1211,2012/10/23,6674
ag1211,2012/10/24,6655
ag1211,2012/10/25,6715
ag1211,2012/10/26,6704
ag1211,2012/10/29,6704
ag1211,2012/10/30,6649
ag1211,2012/10/31,6655
ag1211,2012/11/1,6745
ag1211,2012/11/2,6712
ag1211,2012/11/5,6461
ag1211,2012/11/6,6464
ag1211,2012/11/7,6631
ag1211,2012/11/8,6600
ag1211,2012/11/9,6678
ag1211,2012/11/12,6705
ag1211,2012/11/13,6624
ag1211,2012/11/14,6678
ag1211,2012/11/15,6679
ag1212,2012/5/10,6152
ag1212,2012/5/11,6085
ag1212,2012/5/14,6026
ag1212,2012/5/15,5841
ag1212,2012/5/16,5719
ag1212,2012/5/17,5771
ag1212,2012/5/18,5858
ag1212,2012/5/21,5956
ag1212,2012/5/22,5926
ag1212,2012/5/23,5814
ag1212,2012/5/24,5832
ag1212,2012/5/25,5876
ag1212,2012/5/28,5983
ag1212,2012/5/29,5980
ag1212,2012/5/30,5858
ag1212,2012/5/31,5886
ag1212,2012/6/1,5843
ag1212,2012/6/4,5981
ag1212,2012/6/5,5989
ag1212,2012/6/6,6093
ag1212,2012/6/7,6160
ag1212,2012/6/8,6004
ag1212,2012/6/11,6117
ag1212,2012/6/12,6055
ag1212,2012/6/13,6110
ag1212,2012/6/14,6134
ag1212,2012/6/15,6112
ag1212,2012/6/18,6076
ag1212,2012/6/19,6107
ag1212,2012/6/20,6054
ag1212,2012/6/21,5956
ag1212,2012/6/25,5769
ag1212,2012/6/26,5848
ag1212,2012/6/27,5787
ag1212,2012/6/28,5791
ag1212,2012/6/29,5754
ag1212,2012/7/2,5851
ag1212,2012/7/3,5923
ag1212,2012/7/4,6000
ag1212,2012/7/5,6018
ag1212,2012/7/6,5943
ag1212,2012/7/9,5852
ag1212,2012/7/10,5852
ag1212,2012/7/11,5812
ag1212,2012/7/12,5788
ag1212,2012/7/13,5845
ag1212,2012/7/16,5857
ag1212,2012/7/17,5890
ag1212,2012/7/18,5840
ag1212,2012/7/19,5851
ag1212,2012/7/20,5831
ag1212,2012/7/23,5809
ag1212,2012/7/24,5805
ag1212,2012/7/25,5788
ag1212,2012/7/26,5859
ag1212,2012/7/27,5897
ag1212,2012/7/30,5905
ag1212,2012/7/31,6018
ag1212,2012/8/1,5972
ag1212,2012/8/2,5898
ag1212,2012/8/3,5852
ag1212,2012/8/6,5953
ag1212,2012/8/7,5965
ag1212,2012/8/8,5977
ag1212,2012/8/9,6005
ag1212,2012/8/10,5983
ag1212,2012/8/13,6002
ag1212,2012/8/14,5961
ag1212,2012/8/15,5959
ag1212,2012/8/16,5961
ag1212,2012/8/17,6018
ag1212,2012/8/20,6017
ag1212,2012/8/21,6129
ag1212,2012/8/22,6239
ag1212,2012/8/23,6477
ag1212,2012/8/24,6504
ag1212,2012/8/27,6650
ag1212,2012/8/28,6549
ag1212,2012/8/29,6589
ag1212,2012/8/30,6560
ag1212,2012/8/31,6485
ag1212,2012/9/3,6810
ag1212,2012/9/4,6885
ag1212,2012/9/5,6881
ag1212,2012/9/6,6997
ag1212,2012/9/7,6898
ag1212,2012/9/10,7219
ag1212,2012/9/11,7157
ag1212,2012/9/12,7188
ag1212,2012/9/13,7089
ag1212,2012/9/14,7419
ag1212,2012/9/17,7376
ag1212,2012/9/18,7253
ag1212,2012/9/19,7374
ag1212,2012/9/20,7342
ag1212,2012/9/21,7392
ag1212,2012/9/24,7154
ag1212,2012/9/25,7164
ag1212,2012/9/26,7158
ag1212,2012/9/27,7205
ag1212,2012/9/28,7352
ag1212,2012/10/8,7122
ag1212,2012/10/9,7133
ag1212,2012/10/10,7063
ag1212,2012/10/11,7104
ag1212,2012/10/12,7102
ag1212,2012/10/15,6895
ag1212,2012/10/16,6838
ag1212,2012/10/17,6877
ag1212,2012/10/18,6885
ag1212,2012/10/19,6802
ag1212,2012/10/22,6719
ag1212,2012/10/23,6737
ag1212,2012/10/24,6705
ag1212,2012/10/25,6776
ag1212,2012/10/26,6734
ag1212,2012/10/29,6748
ag1212,2012/10/30,6693
ag1212,2012/10/31,6707
ag1212,2012/11/1,6794
ag1212,2012/11/2,6731
ag1212,2012/11/5,6495
ag1212,2012/11/6,6501
ag1212,2012/11/7,6660
ag1212,2012/11/8,6632
ag1212,2012/11/9,6724
ag1212,2012/11/12,6749
ag1212,2012/11/13,6663
ag1212,2012/11/14,6735
ag1212,2012/11/15,6729
ag1212,2012/11/16,6700
ag1212,2012/11/19,6725
ag1212,2012/11/20,6825
ag1212,2012/11/21,6787
ag1212,2012/11/22,6842
ag1212,2012/11/23,6826
ag1212,2012/11/26,6948
ag1212,2012/11/27,6970
ag1212,2012/11/28,6905
ag1212,2012/11/29,6859
ag1212,2012/11/30,6891
ag1212,2012/12/3,6765
ag1212,2012/12/4,6666
ag1212,2012/12/5,6650
ag1212,2012/12/6,6614
ag1212,2012/12/7,6635
ag1212,2012/12/10,6687
ag1212,2012/12/11,6632
ag1212,2012/12/12,6640
ag1212,2012/12/13,6552
ag1212,2012/12/14,6537
ag1212,2012/12/17,6494
ag1301,2012/5/10,6162
ag1301,2012/5/11,6100
ag1301,2012/5/14,6045
ag1301,2012/5/15,5844
ag1301,2012/5/16,5736
ag1301,2012/5/17,5800
ag1301,2012/5/18,5894
ag1301,2012/5/21,5986
ag1301,2012/5/22,5936
ag1301,2012/5/23,5829
ag1301,2012/5/24,5848
ag1301,2012/5/25,5890
ag1301,2012/5/28,5983
ag1301,2012/5/29,5986
ag1301,2012/5/30,5866
ag1301,2012/5/31,5901
ag1301,2012/6/1,5847
ag1301,2012/6/4,5964
ag1301,2012/6/5,5996
ag1301,2012/6/6,6108
ag1301,2012/6/7,6168
ag1301,2012/6/8,6010
ag1301,2012/6/11,6128
ag1301,2012/6/12,6064
ag1301,2012/6/13,6118
ag1301,2012/6/14,6137
ag1301,2012/6/15,6123
ag1301,2012/6/18,6091
ag1301,2012/6/19,6119
ag1301,2012/6/20,6070
ag1301,2012/6/21,5972
ag1301,2012/6/25,5793
ag1301,2012/6/26,5867
ag1301,2012/6/27,5808
ag1301,2012/6/28,5816
ag1301,2012/6/29,5755
ag1301,2012/7/2,5867
ag1301,2012/7/3,5939
ag1301,2012/7/4,6016
ag1301,2012/7/5,6028
ag1301,2012/7/6,5963
ag1301,2012/7/9,5870
ag1301,2012/7/10,5868
ag1301,2012/7/11,5832
ag1301,2012/7/12,5809
ag1301,2012/7/13,5853
ag1301,2012/7/16,5878
ag1301,2012/7/17,5906
ag1301,2012/7/18,5860
ag1301,2012/7/19,5866
ag1301,2012/7/20,5856
ag1301,2012/7/23,5824
ag1301,2012/7/24,5816
ag1301,2012/7/25,5800
ag1301,2012/7/26,5852
ag1301,2012/7/27,5899
ag1301,2012/7/30,5924
ag1301,2012/7/31,6027
ag1301,2012/8/1,5976
ag1301,2012/8/2,5914
ag1301,2012/8/3,5869
ag1301,2012/8/6,5965
ag1301,2012/8/7,5983
ag1301,2012/8/8,5990
ag1301,2012/8/9,6018
ag1301,2012/8/10,6002
ag1301,2012/8/13,6016
ag1301,2012/8/14,5971
ag1301,2012/8/15,5976
ag1301,2012/8/16,5981
ag1301,2012/8/17,6026
ag1301,2012/8/20,6028
ag1301,2012/8/21,6137
ag1301,2012/8/22,6254
ag1301,2012/8/23,6470
ag1301,2012/8/24,6515
ag1301,2012/8/27,6674
ag1301,2012/8/28,6568
ag1301,2012/8/29,6607
ag1301,2012/8/30,6571
ag1301,2012/8/31,6504
ag1301,2012/9/3,6830
ag1301,2012/9/4,6906
ag1301,2012/9/5,6903
ag1301,2012/9/6,7011
ag1301,2012/9/7,6918
ag1301,2012/9/10,7227
ag1301,2012/9/11,7171
ag1301,2012/9/12,7201
ag1301,2012/9/13,7105
ag1301,2012/9/14,7426
ag1301,2012/9/17,7383
ag1301,2012/9/18,7259
ag1301,2012/9/19,7382
ag1301,2012/9/20,7350
ag1301,2012/9/21,7403
ag1301,2012/9/24,7170
ag1301,2012/9/25,7184
ag1301,2012/9/26,7176
ag1301,2012/9/27,7216
ag1301,2012/9/28,7362
ag1301,2012/10/8,7137
ag1301,2012/10/9,7163
ag1301,2012/10/10,7088
ag1301,2012/10/11,7128
ag1301,2012/10/12,7127
ag1301,2012/10/15,6925
ag1301,2012/10/16,6875
ag1301,2012/10/17,6917
ag1301,2012/10/18,6927
ag1301,2012/10/19,6845
ag1301,2012/10/22,6764
ag1301,2012/10/23,6779
ag1301,2012/10/24,6749
ag1301,2012/10/25,6811
ag1301,2012/10/26,6768
ag1301,2012/10/29,6789
ag1301,2012/10/30,6737
ag1301,2012/10/31,6757
ag1301,2012/11/1,6862
ag1301,2012/11/2,6781
ag1301,2012/11/5,6547
ag1301,2012/11/6,6559
ag1301,2012/11/7,6718
ag1301,2012/11/8,6689
ag1301,2012/11/9,6784
ag1301,2012/11/12,6804
ag1301,2012/11/13,6718
ag1301,2012/11/14,6792
ag1301,2012/11/15,6788
ag1301,2012/11/16,6756
ag1301,2012/11/19,6785
ag1301,2012/11/20,6887
ag1301,2012/11/21,6849
ag1301,2012/11/22,6909
ag1301,2012/11/23,6896
ag1301,2012/11/26,7022
ag1301,2012/11/27,7046
ag1301,2012/11/28,6972
ag1301,2012/11/29,6915
ag1301,2012/11/30,6967
ag1301,2012/12/3,6834
ag1301,2012/12/4,6731
ag1301,2012/12/5,6709
ag1301,2012/12/6,6668
ag1301,2012/12/7,6697
ag1301,2012/12/10,6741
ag1301,2012/12/11,6692
ag1301,2012/12/12,6704
ag1301,2012/12/13,6616
ag1301,2012/12/14,6587
ag1301,2012/12/17,6544
ag1301,2012/12/18,6593
ag1301,2012/12/19,6461
ag1301,2012/12/20,6335
ag1301,2012/12/21,6082
ag1301,2012/12/24,6114
ag1301,2012/12/25,6084
ag1301,2012/12/26,6073
ag1301,2012/12/27,6103
ag1301,2012/12/28,6159
ag1301,2012/12/31,6153
ag1302,2012/5/10,6144
ag1302,2012/5/11,6112
ag1302,2012/5/14,6079
ag1302,2012/5/15,5871
ag1302,2012/5/16,5739
ag1302,2012/5/17,5786
ag1302,2012/5/18,5935
ag1302,2012/5/21,5980
ag1302,2012/5/22,5949
ag1302,2012/5/23,5949
ag1302,2012/5/24,5891
ag1302,2012/5/25,5886
ag1302,2012/5/28,5972
ag1302,2012/5/29,6001
ag1302,2012/5/30,5884
ag1302,2012/5/31,5914
ag1302,2012/6/1,5873
ag1302,2012/6/4,5980
ag1302,2012/6/5,5992
ag1302,2012/6/6,6104
ag1302,2012/6/7,6189
ag1302,2012/6/8,5984
ag1302,2012/6/11,6127
ag1302,2012/6/12,6063
ag1302,2012/6/13,6117
ag1302,2012/6/14,6154
ag1302,2012/6/15,6138
ag1302,2012/6/18,6106
ag1302,2012/6/19,6113
ag1302,2012/6/20,6085
ag1302,2012/6/21,5987
ag1302,2012/6/25,5810
ag1302,2012/6/26,5883
ag1302,2012/6/27,5836
ag1302,2012/6/28,5844
ag1302,2012/6/29,5783
ag1302,2012/7/2,5896
ag1302,2012/7/3,5920
ag1302,2012/7/4,5997
ag1302,2012/7/5,6041
ag1302,2012/7/6,5976
ag1302,2012/7/9,5883
ag1302,2012/7/10,5885
ag1302,2012/7/11,5855
ag1302,2012/7/12,5836
ag1302,2012/7/13,5895
ag1302,2012/7/16,5920
ag1302,2012/7/17,5940
ag1302,2012/7/18,5862
ag1302,2012/7/19,5987
ag1302,2012/7/20,5872
ag1302,2012/7/23,5807
ag1302,2012/7/24,5849
ag1302,2012/7/25,5876
ag1302,2012/7/26,5880
ag1302,2012/7/27,5925
ag1302,2012/7/30,5935
ag1302,2012/7/31,6031
ag1302,2012/8/1,5980
ag1302,2012/8/2,5930
ag1302,2012/8/3,5885
ag1302,2012/8/6,5982
ag1302,2012/8/7,6007
ag1302,2012/8/8,6005
ag1302,2012/8/9,6034
ag1302,2012/8/10,6018
ag1302,2012/8/13,6032
ag1302,2012/8/14,5986
ag1302,2012/8/15,5991
ag1302,2012/8/16,5996
ag1302,2012/8/17,5996
ag1302,2012/8/20,6040
ag1302,2012/8/21,6126
ag1302,2012/8/22,6283
ag1302,2012/8/23,6509
ag1302,2012/8/24,6544
ag1302,2012/8/27,6660
ag1302,2012/8/28,6593
ag1302,2012/8/29,6598
ag1302,2012/8/30,6598
ag1302,2012/8/31,6598
ag1302,2012/9/3,6847
ag1302,2012/9/4,6938
ag1302,2012/9/5,6937
ag1302,2012/9/6,7061
ag1302,2012/9/7,6981
ag1302,2012/9/10,7281
ag1302,2012/9/11,7212
ag1302,2012/9/12,7228
ag1302,2012/9/13,7130
ag1302,2012/9/14,7430
ag1302,2012/9/17,7403
ag1302,2012/9/18,7271
ag1302,2012/9/19,7418
ag1302,2012/9/20,7368
ag1302,2012/9/21,7416
ag1302,2012/9/24,7168
ag1302,2012/9/25,7195
ag1302,2012/9/26,7175
ag1302,2012/9/27,7247
ag1302,2012/9/28,7398
ag1302,2012/10/8,7137
ag1302,2012/10/9,7173
ag1302,2012/10/10,7097
ag1302,2012/10/11,7160
ag1302,2012/10/12,7128
ag1302,2012/10/15,6932
