
======================================================================================
----------------------------------------------------------------------------
	簇个数:	 199
--------------------------------------
	簇ID:	 计数

23,1,||,0.0,0.0,39.0,0.0,126.0,0.0,180.0,0.0,172.0,0.0,132.0,0.0
24,1,||,0.0,0.0,490.0,649.0,116.0,104.0,90.0,127.0,125.0,112.0,116.0,132.0
25,1,||,0.0,0.0,161.0,0.0,610.0,174.0,145.0,176.0,185.0,191.0,212.0,184.0
26,1,||,0.0,0.0,72.0,0.0,95.0,104.0,0.0,0.0,66.0,55.0,113.0,663.0
27,1,||,0.0,0.0,19.0,89.0,77.0,72.0,50.0,0.0,110.0,72.0,29.0,0.0
28,1,||,0.0,0.0,553.0,261.0,358.0,249.0,186.0,166.0,185.0,183.0,239.0,230.0
29,1,||,0.0,0.0,1120.0,0.0,297.0,0.0,1061.0,0.0,304.0,0.0,494.0,0.0
30,1,||,0.0,0.0,344.0,156.0,77.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,||,0.0,0.0,457.0,0.0,164.0,0.0,155.0,0.0,130.0,0.0,117.0,0.0
32,1,||,0.0,0.0,852.0,0.0,824.0,0.0,608.0,0.0,519.0,0.0,599.0,0.0
33,1,||,0.0,0.0,183.0,0.0,80.0,76.0,290.0,738.0,541.0,19.0,4.0,4.0
34,3,||,0.0,0.0,271.6666666666667,0.0,292.0,0.0,179.66666666666666,0.0,238.66666666666666,0.0,175.66666666666666,0.0
35,1,||,0.0,0.0,108.0,322.0,561.0,726.0,570.0,652.0,756.0,633.0,886.0,873.0
36,1,||,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,656.0,697.0
37,1,||,0.0,0.0,1122.0,500.0,0.0,458.0,617.0,0.0,683.0,389.0,445.0,322.0
38,2,||,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0
39,2,||,0.0,0.0,88.5,0.0,0.0,0.0,24.5,0.0,294.5,0.0,167.0,0.0
40,1,||,0.0,0.0,178.0,22.0,0.0,0.0,0.0,0.0,0.0,110.0,48.0,0.0
41,2,||,0.0,0.0,29.5,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1,||,0.0,0.0,915.0,0.0,597.0,0.0,0.0,0.0,1349.0,0.0,627.0,0.0
43,1,||,0.0,0.0,1124.0,1388.0,596.0,325.0,58.0,59.0,57.0,12.0,1.0,44.0
44,1,||,0.0,0.0,740.0,0.0,0.0,0.0,700.0,380.0,280.0,0.0,450.0,490.0
45,1,||,0.0,0.0,4.0,102.0,21.0,2.0,20.0,50.0,1.0,0.0,0.0,0.0
46,1,||,0.0,0.0,213.0,0.0,149.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0
47,3,||,0.0,0.0,13.333333333333334,31.0,9.0,4.0,6.0,5.333333333333333,1.6666666666666667,2.3333333333333335,64.0,185.66666666666666
48,1,||,0.0,0.0,67.0,120.0,0.0,478.0,203.0,183.0,182.0,236.0,247.0,457.0
49,3,||,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.66666666666666,0.0
50,1,||,0.0,0.0,185.0,390.0,548.0,639.0,587.0,0.0,0.0,200.0,171.0,295.0
51,1,||,0.0,0.0,36.0,173.0,169.0,134.0,175.0,448.0,468.0,121.0,149.0,176.0
52,3,||,0.0,0.0,111.0,54.0,51.0,16.333333333333332,158.33333333333334,129.33333333333334,111.33333333333333,97.33333333333333,74.0,50.666666666666664
53,1,||,0.0,0.0,1536.0,0.0,790.0,0.0,662.0,0.0,998.0,0.0,609.0,0.0
54,1,||,0.0,0.0,2272.0,60.0,45.0,0.0,129.0,9.0,3.0,9.0,143.0,75.0
