区间右值,L1/L2,-1000%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,120%,150%,200%,400%,1000%
0,>=0个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,>=3个月,96,1.0,0.79,0.67,0.55,0.45,0.34,0.2,0.15,0.09,0.09,0.08,0.07,0.05,0.04,0.04,0.0
6,>=6个月,96,1.0,0.88,0.77,0.66,0.57,0.42,0.28,0.19,0.15,0.12,0.11,0.09,0.06,0.06,0.05,0.0
9,>=9个月,96,1.0,0.89,0.81,0.7,0.62,0.46,0.35,0.29,0.22,0.18,0.16,0.1,0.07,0.07,0.06,0.0
12,>=12个月,96,1.0,0.89,0.83,0.72,0.66,0.51,0.39,0.33,0.25,0.21,0.18,0.12,0.07,0.07,0.06,0.0
15,>=15个月,96,1.0,0.92,0.84,0.76,0.67,0.56,0.41,0.34,0.26,0.23,0.2,0.13,0.08,0.08,0.06,0.0
18,>=18个月,96,1.0,0.92,0.86,0.76,0.68,0.57,0.43,0.37,0.28,0.25,0.21,0.13,0.08,0.08,0.06,0.0
21,>=21个月,96,1.0,0.92,0.86,0.78,0.69,0.61,0.44,0.38,0.29,0.27,0.22,0.13,0.08,0.08,0.06,0.0
24,>=24个月,47,1.0,0.95,0.89,0.78,0.7,0.63,0.48,0.42,0.29,0.27,0.21,0.1,0.04,0.04,0.02,0.0
27,>=27个月,22,1.0,0.9,0.86,0.72,0.72,0.68,0.54,0.45,0.27,0.22,0.18,0.13,0.04,0.04,0.0,0.0
30,>=30个月,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,>=33个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,>=36个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,>=39个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,>=42个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,>=45个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,>=48个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,>=51个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,>=54个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,>=57个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,>=60个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,>=63个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,>=66个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,>=69个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,>=72个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,>=75个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,>=78个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,>=81个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,>=84个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,>=87个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,>=90个月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
